val_loss,epoch,step,train_loss
1.2764006853103638,0,5,
0.9505643248558044,1,11,
0.8530815243721008,2,17,
0.9552282094955444,3,23,
0.987646758556366,4,29,
0.9371640682220459,5,35,
0.9794321060180664,6,41,
1.1601940393447876,7,47,
,8,49,0.5375193357467651
1.0467690229415894,8,53,
0.8792287707328796,9,59,
0.8482350707054138,10,65,
0.8782748579978943,11,71,
0.9383997917175293,12,77,
0.8987196683883667,13,83,
0.8661766648292542,14,89,
0.9813763499259949,15,95,
,16,99,0.542672872543335
0.8699126243591309,16,101,
0.8629009127616882,17,107,
0.8213394284248352,18,113,
0.8973785042762756,19,119,
0.9542527198791504,20,125,
0.8757467865943909,21,131,
0.8973054885864258,22,137,
0.8933138847351074,23,143,
,24,149,0.4275503158569336
1.0140068531036377,24,149,
0.8701217174530029,25,155,
0.8420264720916748,26,161,
0.8684442043304443,27,167,
0.9113110899925232,28,173,
0.8544372320175171,29,179,
0.8602334260940552,30,185,
0.9754863381385803,31,191,
0.8835769891738892,32,197,
,33,199,0.40201500058174133
0.8463869094848633,33,203,
0.8853199481964111,34,209,
0.9127231240272522,35,215,
0.936608076095581,36,221,
0.8657290935516357,37,227,
0.8838925361633301,38,233,
0.8581371307373047,39,239,
0.8586419820785522,40,245,
,41,249,0.48095089197158813
0.8542633652687073,41,251,
0.9127312898635864,42,257,
0.8410199880599976,43,263,
0.872163712978363,44,269,
0.8646800518035889,45,275,
0.8645703792572021,46,281,
0.8515106439590454,47,287,
0.8739299178123474,48,293,
,49,299,0.32526859641075134
0.8597874641418457,49,299,
0.8608090877532959,50,305,
0.8741826415061951,51,311,
0.8665756583213806,52,317,
0.8464044332504272,53,323,
0.902332603931427,54,329,
0.8868589997291565,55,335,
0.893959105014801,56,341,
0.8917362093925476,57,347,
,58,349,0.3609984815120697
0.8846691846847534,58,353,
0.8695110082626343,59,359,
0.8705402612686157,60,365,
0.8860844373703003,61,371,
0.8545383810997009,62,377,
0.8506410717964172,63,383,
0.84986412525177,64,389,
0.8662576079368591,65,395,
,66,399,0.4484871029853821
0.8593566417694092,66,401,
0.8647177219390869,67,407,
0.8686004877090454,68,413,
0.8853780031204224,69,419,
0.8598381280899048,70,425,
0.8615278601646423,71,431,
0.8613126277923584,72,437,
0.8610295653343201,73,443,
,74,449,0.30653491616249084
0.8555200099945068,74,449,
0.8664557337760925,75,455,
0.8679289817810059,76,461,
0.8849484324455261,77,467,
0.8938937187194824,78,473,
0.8929147720336914,79,479,
0.8545094728469849,80,485,
0.87613445520401,81,491,
0.8448335528373718,82,497,
,83,499,0.31350523233413696
0.8478934168815613,83,503,
0.8582934141159058,84,509,
0.8660838603973389,85,515,
0.8642462491989136,86,521,
0.8552427887916565,87,527,
0.868313729763031,88,533,
0.8489201664924622,89,539,
0.8758893013000488,90,545,
,91,549,0.45178282260894775
0.8539990186691284,91,551,
0.8656548857688904,92,557,
0.8548533320426941,93,563,
0.86087965965271,94,569,
0.8559147715568542,95,575,
0.8446661233901978,96,581,
0.8439168334007263,97,587,
0.8493406772613525,98,593,
,99,599,0.27436819672584534
0.8384132981300354,99,599,
0.8507396578788757,100,605,
0.8524378538131714,101,611,
0.8477262854576111,102,617,
0.8636297583580017,103,623,
